User,Created_at,Tweet
@citizentvkenya,2019-04-12 03:36:37,"Pope Francis kisses feet of President Salva Kiir, Riek Machar – VIDEO 
 https://t.co/vcfnP6T5xK"
@citizentvkenya,2019-04-12 03:35:38,"Italy, France spar over tackling escalating conflict in Libya https://t.co/uucna0TM86"
@citizentvkenya,2019-04-12 03:35:13,Trump set to host moon for North Korea talks https://t.co/uuVBJDVgqC
@citizentvkenya,2019-04-12 03:32:20,"Wangechi murder probe:
Post-mortem exam results out tomorrow. Body of slain student moved to Nairobi. Wangechi was… https://t.co/WvcddPomyO"
@citizentvkenya,2019-04-12 03:30:42,"Huduma Namba registration: 
Gov't says over 5 million people registered. Registration was launched last Tuesday. Go… https://t.co/zqkm6aOCBg"
@citizentvkenya,2019-04-12 03:29:18,"President Bashir ousted: 
Sudan ruler placed under house arrest. Al Bashir ruled Sudan for 30 years. Intensified pr… https://t.co/UmBOxWOlcH"
@citizentvkenya,2019-04-12 03:28:21,"I want my billions:
Man in fake currency saga wants his money. Eric Adede says his money was genuine. Police said f… https://t.co/DPlePwAC5e"
@citizentvkenya,2019-04-12 03:27:37,"Kenya's food situation:
Weatherman confirms long rains delay. Gov’t says Kenya has enough maize in stores. Kenya’s… https://t.co/GqVLiKZ2Mh"
@citizentvkenya,2019-04-12 03:24:57,Citizen TV Live https://t.co/cMVPlG98jM
@citizentvkenya,2019-04-12 03:00:24,6 remaining long-serving African heads following Bashir ouster https://t.co/YhIdYbKMXT https://t.co/swItWBRTBz
@citizentvkenya,2019-04-12 02:00:24,"900M voters, 8,000 candidates, 460 political parties… Inside India’s General Election https://t.co/kxCemgJAVk https://t.co/gBPknceAXt"
@citizentvkenya,2019-04-12 01:00:31,Paul Kobia sues Barclays Bank for threatening to close his accounts https://t.co/3yfPiINmYL https://t.co/duajBUPtmD
@citizentvkenya,2019-04-12 00:00:23,33 illegal Nigerian immigrant ‘students’ arrested in Kasarani for dealing drugs https://t.co/ORd6VgyvSd https://t.co/AjEo1FSyLb
@citizentvkenya,2019-04-11 23:00:22,"Man in Barclays Bank ‘fake money’ saga wants DCI to produce the cash, says it was genuine https://t.co/0ZdrgSYRBF https://t.co/qTTemoOMlw"
@citizentvkenya,2019-04-11 22:00:24,Court bars JSC from effecting retirement of 69-year-old Judge Erastus Githinji https://t.co/3ekijn3kCn https://t.co/eA6Dopi9Oc
@citizentvkenya,2019-04-11 21:07:35,"Ageyo’s Angle #NewsGang

@jageyo https://t.co/aXdilL6JhO"
@citizentvkenya,2019-04-11 21:06:55,"Yvonne’s Take #NewsGang

@YvonneOkwara https://t.co/PzbYdW4vsz"
@citizentvkenya,2019-04-11 21:03:11,"Gachuri’s Punchline #NewsGang

@Fchurii https://t.co/g9fMI6HjAY"
@citizentvkenya,2019-04-11 21:01:37,"Kaikai’s Kicker #NewsGang

@LinusKaikai https://t.co/mkqPvu5AY8"
@citizentvkenya,2019-04-11 21:00:20,Bobi Wine puts Museveni on notice after President Bashir’s ouster https://t.co/pLxvtWi0XG https://t.co/DVoU9m75cV
@citizentvkenya,2019-04-11 20:59:08,"Jamila’s Memo #NewsGang

@JamilaMohamed https://t.co/wbIDiXHbIR"
@citizentvkenya,2019-04-11 20:57:32,Gachuri: What happened to Ivy Wangechi is extremely sad and what makes it even worse is the insensitivity with whic… https://t.co/768xt35Cqh
@citizentvkenya,2019-04-11 20:46:51,@jageyo on Ivy’s murder #NewsGang https://t.co/fOtEnim1Ki
@citizentvkenya,2019-04-11 20:44:58,"Yvonne on Ivy’s murder: I’m more disgusted by the conversations on social media, the value of women’s life in this… https://t.co/btmLu0AY4e"
@citizentvkenya,2019-04-11 20:37:38,Gachuri: Sometimes longevity in power does not translate to quality leadership #NewsGang https://t.co/Rxea9ktAM9
@citizentvkenya,2019-04-11 20:30:21,Paul Kobia sues Barclays Bank for threatening to close his accounts https://t.co/U8svwHpHXt https://t.co/gStUhCO122
@citizentvkenya,2019-04-11 20:29:29,How I see al-Bashir’s exit and my worry about where it's going - @jageyo  #NewsGang https://t.co/vU5ZEioJ0W
